 n       xn1             |f(xn1)|
 0 3.000000000000000e+00 9.861228866810978e-02
 1 3.059167373200866e+00 3.692745776079587e-03
 2 3.057106054691600e+00 4.476150597731987e-06
 3 3.057103549998436e+00 6.609823799408332e-12

 n       xn1             |f(xn1)|
 0 2.000000000000000e+00 6.931471805599453e-01
 1 4.000000000000000e+00 2.613705638880109e+00
 2 2.419218645889003e+00 7.077003413730971e-01
 3 2.756039712206013e+00 4.421987159786225e-01
 4 3.317022504001125e+00 5.354807316593784e-01
 5 3.009768959371032e+00 8.222996682146388e-02
 6 3.050670709725762e+00 1.145253099627896e-02
 7 3.057289041659920e+00 3.315284194784773e-04
 8 3.057102843928875e+00 1.261809842834083e-06
 9 3.057103549917540e+00 1.379611980212303e-10

 n       xn1             |f(xn1)|
 0 7.500000000000000e-01 3.357864376269049e-01
 1 6.883072460969516e-01 2.819126095597957e-02
 2 6.820480690939008e-01 3.223569164387818e-04
 3 6.819748188604164e-01 4.453119828440322e-08

 n       xn1             |f(xn1)|
 0 5.000000000000000e-01 5.000000000000000e-01
 1 1.000000000000000e+00 2.000000000000000e+00
 2 6.000000000000001e-01 3.021130325903070e-01
 3 6.524931709804664e-01 1.223535022158933e-01
 4 6.882226997487054e-01 2.781052374266890e-02
 5 6.816055562499178e-01 1.623411657736940e-03
 6 6.819705209666883e-01 1.886410134188665e-05
 7 6.819748117285146e-01 1.315406050750312e-08

 n       xn1             |f(xn1)|
 0 1.480000000000000e+00 1.454019840000001e+00
 1 -1.370840417856241e+00 2.378204700664638e+02
 2 -4.381315669251884e-01 7.338751679494213e+01
 3 2.270272822394207e-01 2.208645430508834e+01
 4 6.780027199278047e-01 6.268040823727564e+00
 5 9.499800878161108e-01 1.520403924251738e+00
 6 1.072212280929366e+00 2.323323476431796e-01
 7 1.098791633978647e+00 9.669457269417592e-03
 8 1.099997573285429e+00 1.937982094801782e-05
 9 1.099999999990186e+00 7.837996918169665e-11

 n       xn1             |f(xn1)|
 0 1.950000000000000e+00 7.028437499999640e-01
 1 2.201734867478497e+00 4.614563933607485e-03
 2 2.199998621119484e+00 3.670582223946894e-06
 3 2.199999999999132e+00 2.280842181789922e-12

 n       xn1             |f(xn1)|
 0 3.730000000000000e+00 1.159285589999904e+00
 1 3.194343198880759e+00 2.652804933255268e-01
 2 3.307839448245923e+00 2.094191042686333e-02
 3 3.300026946459627e+00 7.173235410817824e-05
 4 3.300000000330000e+00 8.785363547758607e-10

 n       xn1             |f(xn1)|
 0 4.610000000000000e+00 2.327098409999969e+00
 1 4.449360051176193e+00 4.274177100718433e-01
 2 4.403640504943882e+00 2.924979220524193e-02
 3 4.400021902106858e+00 1.749166102129607e-04
 4 4.400000000799471e+00 6.384603068454453e-09

 n       xn1             |f(xn1)|
 0 2.700000000000000e+00 6.748226989716555e-03
 1 2.718220212872235e+00 2.266736454592522e-05
 2 2.718281827760716e+00 2.569009449615578e-10

 n       xn1             |f(xn1)|
 0 2.700000047683716e+00 6.748209241777658e-03
 1 2.718220233917236e+00 2.265962211822625e-05
 2 2.718281745910645e+00 3.036786111465517e-08

 n       xn1             |f(xn1)|
 0 3.000000000000000e+00 9.861228866810978e-02
 1 3.500000000000000e+00 9.972370315046319e-01
 2 3.250000000000000e+00 3.838450036583538e-01
 3 3.125000000000000e+00 1.261907168116352e-01
 4 3.062500000000000e+00 9.674674129154681e-03
